customer_id,customer_name,city
428,Morgan Patel,Chennai
226,Avery Kapoor,Mumbai
447,Sage Banerjee,Hyderabad
145,Phoenix Bose,Mumbai
116,Taylor Mehra,Delhi
359,Sawyer Patel,Hyderabad
202,Robin Joshi,Hyderabad
315,Avery Nair,Hyderabad
243,Alex Mishra,Delhi
458,Parker Reddy,Chennai
180,Cameron Mishra,Chennai
153,Taylor Bose,Mumbai
284,Skyler Sinha,Chennai
514,Jordan Verma,Bangalore
375,Morgan Banerjee,Bangalore
141,Harper Iyer,Hyderabad
554,Skyler Sinha,Delhi
461,Taylor Patel,Delhi
496,Drew Sharma,Delhi
544,Morgan Bose,Chennai
333,Adrian Choudhury,Chennai
184,Skyler Reddy,Delhi
444,Quinn Verma,Mumbai
412,Adrian Kapoor,Hyderabad
474,Avery Kapoor,Bangalore
295,Quinn Banerjee,Hyderabad
213,Jamie Reddy,Mumbai
218,Jordan Mishra,Chennai
306,Quinn Sharma,Delhi
568,Phoenix Banerjee,Chennai
209,Adrian Nair,Bangalore
553,Adrian Nair,Delhi
236,Casey Mehra,Hyderabad
376,Quinn Verma,Hyderabad
320,Phoenix Bose,Chennai
213,Casey Gupta,Bangalore
147,Jordan Choudhury,Mumbai
179,Adrian Kapoor,Bangalore
406,Taylor Bose,Bangalore
406,Logan Gupta,Chennai
598,Harper Choudhury,Mumbai
449,Sage Sharma,Hyderabad
485,Quinn Mishra,Chennai
158,Drew Bose,Delhi
333,Alex Verma,Chennai
598,Finley Mishra,Delhi
360,Morgan Choudhury,Chennai
531,Adrian Gupta,Hyderabad
202,Casey Reddy,Delhi
377,Finley Banerjee,Mumbai
407,Reese Nair,Mumbai
158,Skyler Banerjee,Chennai
223,Jordan Mehra,Hyderabad
585,Taylor Sharma,Bangalore
518,Taylor Mishra,Hyderabad
493,Casey Kapoor,Bangalore
585,Harper Kapoor,Chennai
371,Sawyer Bose,Delhi
576,Harper Mishra,Delhi
466,Drew Bose,Chennai
325,Finley Nair,Mumbai
227,Avery Sharma,Chennai
111,Phoenix Gupta,Delhi
402,Avery Patel,Mumbai
463,Adrian Patel,Delhi
135,Jordan Choudhury,Chennai
137,Finley Mehra,Chennai
443,Emerson Mehra,Hyderabad
168,Sage Banerjee,Hyderabad
396,Emerson Mehra,Bangalore
514,Parker Mehra,Mumbai
150,Jamie Bose,Chennai
317,Parker Nair,Mumbai
445,Adrian Joshi,Mumbai
132,Hayden Verma,Chennai
510,Morgan Mehra,Delhi
198,Harper Nair,Delhi
317,Riley Iyer,Bangalore
228,Taylor Nair,Hyderabad
151,Jordan Joshi,Hyderabad
529,Alex Sharma,Delhi
186,Parker Nair,Bangalore
210,Hayden Banerjee,Mumbai
185,Hayden Patel,Bangalore
236,Logan Iyer,Bangalore
457,Sage Mishra,Hyderabad
439,Robin Nair,Delhi
198,Drew Mehra,Mumbai
397,Sage Gupta,Mumbai
483,Reese Patel,Mumbai
400,Emerson Gupta,Hyderabad
181,Jordan Gupta,Mumbai
536,Riley Sharma,Hyderabad
135,Jamie Choudhury,Delhi
